Z,A,Mass
1,1,1.007825
1,2,2.014102
1,3,3.016049
2,3,3.016029
2,4,4.002603
3,6,6.015122
3,7,7.016004
4,9,9.012182
5,10,10.012937
5,11,11.009305
6,12,12
6,13,13.003355
6,14,14.003242
7,14,14.003074
7,15,15.000109
8,16,15.994915
8,17,16.999132
8,18,17.99916
9,19,18.998403
10,20,19.99244
10,21,20.993847
10,22,21.991386
11,23,22.98977
12,24,23.985042
12,25,24.985837
12,26,25.962593
13,27,26.981538
14,28,27.976927
14,29,28.976495
14,30,29.97377
15,31,30.973762
16,32,31.972071
16,33,32.971458
16,34,33.967867
16,36,35.967081
17,35,34.968853
17,37,36.965903
18,36,35.967546
18,38,37.962732
18,40,39.962383
19,39,38.963707
19,40,39.963999
19,41,40.961826
20,40,39.962591
20,42,41.958618
20,43,42.958767
20,44,43.955481
20,46,45.953693
20,48,47.952534
21,45,44.95591
22,46,45.952629
22,47,46.951764
22,48,47.947947
22,49,48.947871
22,50,49.944792
23,50,49.947163
23,51,50.943964
24,50,49.94605
24,52,51.940512
24,53,52.940512
24,54,53.938885
25,55,54.93805
26,54,53.939615
26,56,55.934942
26,57,56.935399
26,58,57393328
27,59,58.9332
28,58,57.935348
28,60,59.930791
28,61,60.93106
28,62,61.928349
28,64,63.92797
29,63,62.929601
29,65,64.927794
30,64,63.929147
30,66,65.926037
30,67,66.927131
30,68,67.924848
30,7,69.925325
31,69,68.925581
31,71,70.924705
32,70,69.92425
32,72,71.922076
32,73,72.923459
32,74,73.921178
32,76,75.921403
33,75,74.921596
34,74,73.922477
34,76,75.919214
34,77,76.919915
34,78,77.91731
34,80,79.916522
34,82,81.9167
35,79,78.918338
35,81,80.916291
36,78,77.920386
36,80,79.916378
36,82,81.913485
36,83,82.914136
36,84,83.911507
36,86,85.91061
37,85,84.911789
37,87,86.909183
38,84,83.913425
38,86,85.909262
38,87,86.908879
38,88,87.905614
39,89,88.905848
40,90,89.904704
40,91,90.905645
40,92,91.90504
40,94,93.906316
40,96,95.908276
41,93,92.906378
42,92,91.90681
42,94,93.905088
42,95,94.905841
42,96,95.904679
42,97,96.906021
42,98,97.905408
42,100,99.907477
43,98,97.907216
44,96,95.907598
44,98,97.905287
44,99,98.905939
44,100,99.90422
44,101,100.905582
44,102,101.90435
44,104,103.90543
45,103,102.905504
46,102,101.905608
46,104,103.904035
46,105,104.905084
46,106,105.903483
46,108,107.903894
46,110,109.905152
47,107,106.905093
47,109,108.904756
48,106,105.906458
48,108,107.904183
48,110,109.903006
48,111,110.904182
48,112,111.902757
48,113,112.904401
48,114,113.903358
48,116,115.904755
49,113,112.904061
49,115,114.903878
50,112,111.904821
50,114,113.902785
50,115,114.903346
50,116,115.901744
50,117,116.902954
50,118,117.901606
50,119,118.903309
50,120,119.902197
50,122,121.90344
50,124,123.905275
51,121,120.903818
51,123,122.904216
52,120,119.90402
52,122,121.903047
52,123,122.904273
52,124,123.902819
52,125,124.904425
52,126,125.903306
52,128,127.904461
52,130,129.906223
53,127,126.904468
54,124,123.905896
54,126,125.904269
54,128,127.90353
54,129,128.904779
54,130,129.903508
54,131,130.905082
54,132,131.904154
54,134,133.905395
54,136,135.90722
55,133,132.905447
56,130,129.90631
56,132,131.905056
56,134,133.904503
56,135,134.905683
56,136,135.90457
56,137,136.905821
56,138,137.905241
57,138,137.907107
57,139,138.906348
58,136,135.907144
58,138,137.905986
58,140,139.905434
58,142,141.90924
59,141,140.907648
60,142,141.907719
60,143,142.90981
60,144,143.910083
60,145,144.912569
60,146,145.913112
60,148,147.916889
60,150,149.920887
61,145,144.912744
62,144,143.911995
62,147,146.914893
62,148,147.914893
62,149,148.91718
62,150,149.917271
62,152,151.919728
62,154,153.922205
63,151,150.919846
63,153,152.921226
64,152,151.919788
64,154,153.920862
64,155,154.922619
64,156,155.92212
64,157,156.923957
64,158,157.924101
64,160,159.927051
65,159,158.925343
66,156,155.924278
66,158,157.924405
66,160,159.925194
66,161,160.92693
66,162,161.926795
66,163,162.928728
66,164,163.929171
67,165,164.930319
68,162,161.928775
68,164,163.929197
68,166,165.93029
68,167,166.932045
68,168,167.932368
68,170,169.93546
69,169,168.934211
70,168,167.933894
70,170,169.934759
70,171,170.93622
70,172,171.936378
70,173,172.938207
70,174,173.938858
70,176,175.942568
71,175,174.940768
71,176,175.942682
72,174,173.94004
72,176,175.941402
72,177,176.94322
72,178,177.943698
72,179,178.945815
72,180,179.946549
73,180,179.947466
73,181,180.947996
74,180,179.946706
74,182,181.948206
74,183,182.950224
74,184,183.950933
74,186,185.95432
75,185,184.952956
75,187,186.955751
76,184,183.952491
76,186,185.953838
76,187,186.955748
76,188,187.955836
76,189,188.958145
76,190,189.958445
76,192,191.961479
77,191,190.960591
77,193,192.962924
78,190,189.95993
78,192,191.961035
78,194,193.962664
78,195,194.964774
78,196,195.964935
78,198,197.967876
79,197,196.966552
80,196,195.965815
80,198,197.966752
80,199,198.968262
80,200,199.968309
80,201,200.970626
80,202,201.970626
80,204,203.973476
81,203,202.972329
81,205,204.974412
82,204,203.973029
82,206,205.974449
82,207,206.975881
82,208,207.976636
83,209,208.980383
84,209,208.982416
85,210,209.987131
86,222,222.01757
87,223,223.019731
88,226,226.025403
89,227,227.027747
90,232,232.03805
91,231,231.035879
92,233,233.0396
92,234,234.040946
92,235,235.043923
92,236,236.0455
92,238,238.050783
93,236,236.0466
93,237,237.0482
94,238,238.0496
94,239,239.0522
94,240,240.0538
94,241,241.0569
94,242,242.0587
94,244,244.0642
95,241,241.0568
95,243,243.0614
96,243,243.0614
96,244,244.0628
96,245,245.0655
96,246,246.0672
96,247,247.0704
96,248,248.0723
97,247,247.0703
97,249,249.075
98,249,249.0749
98,250,250.0764
98,251,251.0796
98,252,252.0816
99,252,252.083
100,257,257.0951
101,258,258.0984
101,260,260.1037
102,259,259.101
103,262,262.1096
104,267,267.1218
105,268,268.1257
106,271,271.1339
107,272,272.1383
108,270,270.1343
109,276,276.1516
110,281,281.1645
111,280,280.1651
112,285,285.1771
113,284,284.1787
114,289,289.1904
115,288,288.1927
116,293,293.2045
117,292,292.2075
118,294,294.2139
